Comment,Designator,Footprint,LCSC Part #
schottky 40V,D1,SOD-323,C151511
1n,C20,0402-REV,
3V6,D2,SOD-323,C306657
10uH,L1,0805,C139245
10K,R1 R3 R4,0402-REV,
10n,C18 C19,0402-REV,
10u,C2 C3 C4 C5 C6 C7 C8 C9 C10,0805,C2932476
15u,L2,0805,
X1G0054410320,Y2,OSC_TG2016SMN_50.0000M-ECGNNMB,C7503930
68K,R2,0402-REV,
100n,C1 C11 C12 C13 C21 C22 C23,0402-REV,C1581
470n,C15 C17 C24,0402-REV,
2450FM07D0034001T,Y1,FIL_2450FM07D0034T,C6054595
74889302450,ANT1 ANT2,ANTENNA-CHIP2,C6828492
ESP32-PICO-D4,U1,PQFN50P700X700X104-49N,C193707
LMR16006YQ3DDCTQ1,IC1,SOT95P280X110-6N,C2071392
SK6812-EC20,LED1,SK6812-EC20,C2909058
SX1280IMLTRT,U2,QFN24_4X4_SEM,C125969
